plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,data_size,netRunTime,Data Sink,Data Source,Filter,Map,Reduce,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Group by,Join,Sort-Partition,Log_netRunTime,Log_sourceCardinalitySum
Job9v41,1GB,15.0,631081.15,1515709.5275798163,0.25,1.0,200000.0,800000.0,6001215.0,9.074488896184961,3.2495500183278216,400005.0,565678.3538814262,10.0,800000.0,0.7777777777777778,0.25,1.0,7011215.0,9.601944e+21,1752803.75,2852215.3689234117,10000.0,6001215.0,400000.0,346410.1615137755,200000.0,800000.0,1200000.0,3.2e+16,200000.0,0.0,200000.0,200000.0,18333.416666666668,27537.76951789729,0.25,50000.0,"['supplier', 'partsupp', 'part', 'lineitem']",0.0,6001215.0,0.0,0.0,200000.0,800000.0,10000.0,1.0,3570,1,4,3.0,2,4.0,17,16,7,13.352941176470587,57.98923076923077,69.02923076923075,0.0,205.5981818181818,368.7581818181818,0.0,0.0,3.0,0.0,8.180320874773685,15.763021567815043
Job11v1,1GB,11.0,437277.45454545453,416746.05054646026,1.0,1.0,800000.0,800000.0,800000.0,-1.96643385912514,-0.18271189206200328,2400625.0,3751799.776440635,2500.0,8000000.0,1.0,1.0,1.0,810025.0,200000000000.0,270008.33333333326,459013.344259547,25.0,800000.0,800000.0,0.0,800000.0,800000.0,1600000.0,640000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['partsupp', 'supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,800000.0,10000.0,1.0,3192,1,3,0.0,4,2.0,12,11,8,13.5,11.958,24.055999999999997,43.99363636363636,51.24857142857143,168.25799999999995,207.39857142857144,0.0,2.0,0.0,8.068402958569699,13.604820390369866
Job7v55,1GB,7.0,4286.0,3449.913767038243,1.0,1.0,5000.0,7000.000000000003,10000.0,-0.6097647427587791,0.13442707969206194,185000.0,273724.31386341987,5000.0,500000.0,0.9,0.5,1.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,['supplier'],0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,1291,1,1,1.0,3,2.0,8,7,7,16.0,0.0,0.2,0.0,0.0,1.4,0.0,0.0,0.0,0.0,7.1631723908466425,9.210340371976184
Job0v7,1GB,12.0,1751869.333333333,2104126.0120311384,1.0,1000.9000000000008,1500000.0,5551093.500000001,6001215.0,0.4879279325446544,1.345848623734014,38168691.66666666,59314187.18376251,1000000.0,150000000.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.650078605,1500000.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,8405,1,2,0.0,6,2.0,13,12,8,13.692307692307693,0.0,84.0281818181818,0.0,0.0,337.13857142857154,0.0,1.0,1.0,0.0,9.036582045842717,15.830575565385955
Job11v47,1GB,11.0,3555208.3636363638,2838713.040442492,1.0,1.0,6001215.0,6001215.0,6001215.0,-1.8694741468618268,-0.24106403883890906,38003645.0,37843445.83249456,6001215.0,80000000.0,1.0,1.0,1.0,8301215.0,7.201458e+18,2767071.666666666,2822633.9340070887,800000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,12002430.0,36014581476225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem', 'partsupp']",0.0,6001215.0,0.0,1500000.0,0.0,800000.0,0.0,1.0,10757,1,3,0.0,4,2.0,12,11,8,13.5,92.431,193.86272727272728,398.1818181818182,396.1328571428571,1031.5242857142855,1877.142857142857,0.0,2.0,0.0,9.283311984432006,15.931912447595675
Job14v32,1GB,5.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0,-3.0,0.0,7400000.0,10948972.554536797,200000.0,20000000.0,1.0,1.0,1.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['part'],0.0,0.0,0.0,0.0,200000.0,0.0,0.0,1.0,497,1,1,0.0,3,0.0,5,4,4,16.0,0.0,4.788,0.0,0.0,23.94,0.0,0.0,0.0,0.0,6.208590026096629,12.206072645530176
Job13v63,1GB,11.0,1636474.2727272727,1567037.1079826471,1.0,1.0,1500000.0,1500000.0,6001215.0,3.882496150174149,2.026932119369096,53000001.66666666,75333258.17990363,10.0,150000000.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.650078605,1500000.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,5369,1,2,0.0,6,2.0,12,11,9,16.0,68.53272727272727,221.30090909090907,616.3636363636364,251.28666666666663,1061.4366666666667,2260.0,0.0,1.0,0.0,8.58839695042257,15.830575565385955
Job11v66,1GB,11.0,2741351.090909091,2653596.8432485918,1.0,1.0,1500000.0,6001215.0,6001215.0,-1.6262161164424564,0.4058807052509825,155655678.75,296363694.37749594,1500000.0,600121500.0,1.0,1.0,1.0,7651215.0,1.350273375e+18,2550405.0,3063770.918667876,150000.0,6001215.0,3750607.5,3182839.650078605,1500000.0,6001215.0,7501215.0,9001822500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['customer', 'orders', 'lineitem']",150000.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,7533,1,3,0.0,4,2.0,12,11,8,13.5,19.465,106.12272727272726,79.58,83.42142857142858,420.40571428571434,375.1628571428572,0.0,2.0,0.0,8.927048647825695,15.850375016721008
Job0v53,1GB,12.0,1379369.333333333,2255251.3639295427,1.0,1000.9000000000008,10000.0,5551093.500000001,6001215.0,0.5938693344108166,1.4848451270932392,35188691.666666664,61111380.64281003,10000.0,150000000.0,1.0,1.0,1.0,6011215.0,60012150000.0,3005607.5,4236428.754046561,10000.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['supplier', 'lineitem']",0.0,6001215.0,0.0,0.0,0.0,0.0,10000.0,1.0,7482,1,2,0.0,6,2.0,13,12,8,13.692307692307693,0.0,68.66,0.0,0.0,216.38857142857142,0.0,1.0,1.0,0.0,8.920255414908093,15.609137449140755
Job1v90,1GB,4.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0,-3.0,0.0,1100000.0,1272792.2061357854,200000.0,2000000.0,1.0,1.0,1.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['part'],0.0,0.0,0.0,0.0,200000.0,0.0,0.0,1.0,469,1,1,0.0,2,0.0,4,3,3,16.0,0.0,5.985,0.0,0.0,23.94,0.0,0.0,0.0,0.0,6.150602768446278,12.206072645530176
